genome,completeness,contamination
MASTER_WP4_UNINA_1__PM007_71775__bin.12,76.66666667,1.863741751
MASTER_WP4_UNINA_1__PM007_71775__bin.7,91.78473042,3.448393712
MASTER_WP4_UNINA_1__PM007_71775__bin.6,79.454939,0.0
MASTER_WP4_UNINA_1__PM007_71775__bin.15,97.1875,0.9375
MASTER_WP4_UNINA_1__PM007_71775__bin.2,95.83333333,2.696078431
MASTER_WP4_UNINA_1__PM007_71775__bin.9,98.29059829,0.0
MASTER_WP4_UNINA_1__PM012_71775__bin.12,95.25362319,1.946571417
MASTER_WP4_UNINA_1__PM012_71775__bin.4,73.33333333,0.865209472
MASTER_WP4_UNINA_1__PM012_71775__bin.16,89.68225202,2.106741573
MASTER_WP4_UNINA_1__PM012_71775__bin.2,92.76859504,0.216450216
MASTER_WP4_UNINA_1__PM012_71775__bin.21,91.45900974,2.895275298
MASTER_WP4_UNINA_1__PM012_71775__bin.20,92.11956522,1.086956522
MASTER_WP4_UNINA_1__PM012_71775__bin.5,91.26092385,0.136925617
MASTER_WP4_UNINA_1__PM012_71775__bin.1,87.00911641,0.407608696
MASTER_WP4_UNINA_1__PM012_71775__bin.18,82.78618732,0.0
MASTER_WP4_UNINA_1__PM012_71775__bin.11,96.95883134,1.241699867
MASTER_WP4_UNINA_1__PM012_71775__bin.13,68.27956989,1.138519924
MASTER_WP4_UNINA_1__PM013_71775__bin.23,90.55665349,0.144927536
MASTER_WP4_UNINA_1__PM013_71775__bin.17,61.20689655,1.724137931
MASTER_WP4_UNINA_1__PM013_71775__bin.6,87.21489379,2.597402597
MASTER_WP4_UNINA_1__PM013_71775__bin.13,93.67708333,2.161458333
MASTER_WP4_UNINA_1__PM013_71775__bin.20,80.24547792,1.028138528
MASTER_WP4_UNINA_1__PM013_71775__bin.12,97.3046875,0.625
MASTER_WP4_UNINA_1__PM013_71775__bin.4,100.0,1.225490196
MASTER_WP4_UNINA_1__PM013_71775__bin.1,80.75664217,1.551631889
MASTER_WP4_UNINA_1__PR003_71775__bin.4,94.42312669,2.084842995
MASTER_WP4_UNINA_1__PR003_71775__bin.6,90.74675325,0.162337662
MASTER_WP4_UNINA_1__PR003_71775__bin.5,54.31034483,1.724137931
MASTER_WP4_UNINA_1__PR004_71775__bin.11,99.25,2.5
MASTER_WP4_UNINA_1__PR004_71775__bin.1,71.00645636,0.35326087
MASTER_WP4_UNINA_1__PR004_71775__bin.10,96.2962963,4.012345679
MASTER_WP4_UNINA_1__PR004_71775__bin.8,88.01638237,1.221640489
MASTER_WP4_UNINA_1__PR004_71775__bin.7,92.15367965,1.734856622
MASTER_WP4_UNINA_1__PR004_71775__bin.9,89.7594697,3.28125
MASTER_WP4_UNINA_1__PR004_71775__bin.6,66.57756433,0.717852684
MASTER_WP4_UNINA_1__PR005_71775__bin.4,96.51041667,2.296401515
MASTER_WP4_UNINA_1__PR005_71775__bin.2,65.3930131,0.145560408
MASTER_WP4_UNINA_1__PR005_71775__bin.8,89.55372725,1.439790576
MASTER_WP4_UNINA_1__PR005_71775__bin.16,70.68965517,0.0
MASTER_WP4_UNINA_1__PR005_71775__bin.12,98.79802956,0.679975802
MASTER_WP4_UNINA_1__PR005_71775__bin.15,83.9375,0.3125
MASTER_WP4_UNINA_1__PR006_71775__bin.4,83.81132756,4.863980716
MASTER_WP4_UNINA_1__PR006_71775__bin.6,88.11191649,0.817610063
MASTER_WP4_UNINA_1__PR006_71775__bin.3,83.45062405,0.946477765
MASTER_WP4_UNINA_1__PR006_71775__bin.2,77.92207792,0.0
MASTER_WP4_UNINA_1__PR011_71775__bin.8,89.37229437,0.0
MASTER_WP4_UNINA_1__PR012_71775__bin.8,61.14420063,1.724137931
MASTER_WP4_UNINA_1__PR012_71775__bin.5,91.28787879,0.146103896
MASTER_WP4_UNINA_1__PR102_71775__bin.29,86.9286754,0.254730713
MASTER_WP4_UNINA_1__PR102_71775__bin.2,90.57398932,1.530797101
MASTER_WP4_UNINA_1__PR102_71775__bin.24,58.96551724,0.0
MASTER_WP4_UNINA_1__PR102_71775__bin.17,90.52410681,2.777777778
MASTER_WP4_UNINA_1__PR102_71775__bin.8,98.9375,1.964285714
MASTER_WP4_UNINA_1__PR102_71775__bin.1,97.44140625,0.0
MASTER_WP4_UNINA_1__PR102_71775__bin.6,63.61413043,1.086956522
MASTER_WP4_UNINA_1__PR102_71775__bin.12,87.53829017,3.996101365
MASTER_WP4_UNINA_1__PR102_71775__bin.27,79.77598566,0.277777778
MASTER_WP4_UNINA_1__PR102_71775__bin.19,53.44827586,0.0
MASTER_WP4_UNINA_1__PR102_71775__bin.15,58.88714734,3.448275862
MASTER_WP4_UNINA_1__PR102_71775__bin.33,97.3,0.0
MASTER_WP4_UNINA_1__PR107_71775__bin.4,93.4373098,2.13836478
MASTER_WP4_UNINA_1__PR107_71775__bin.8,94.26229508,0.136612022
MASTER_WP4_UNINA_1__PR107_71775__bin.5,81.55225727,2.902141718
MASTER_WP4_UNINA_1__PR107_71775__bin.3,88.85564697,0.589005236
MASTER_WP4_UNINA_1__PR107_71775__bin.13,95.45834871,0.292188432
MASTER_WP4_UNINA_1__PR202_71775__bin.6,91.23376623,0.340909091
MASTER_WP4_UNINA_1__PR202_71775__bin.2,55.17241379,3.448275862
MASTER_WP4_UNINA_1__PR207_71775__bin.3,71.86458333,3.197916667
MASTER_WP4_UNINA_1__PR207_71775__bin.22,95.5,0.625
MASTER_WP4_UNINA_1__PR207_71775__bin.12,92.23371881,2.893081761
MASTER_WP4_UNINA_1__PR207_71775__bin.31,96.69795784,0.543478261
MASTER_WP4_UNINA_1__PR207_71775__bin.16,97.23626869,1.912741546
MASTER_WP4_UNINA_1__PR207_71775__bin.14,95.41446208,4.38957476
MASTER_WP4_UNINA_1__PR207_71775__bin.21,97.453125,0.625
MASTER_WP4_UNINA_1__PR207_71775__bin.9,92.21311475,0.273224044
MASTER_WP4_UNINA_1__PR207_71775__bin.18,99.02597403,0.0
MASTER_WP4_UNINA_1__PR207_71775__bin.8,91.4375,0.0
MASTER_WP4_UNINA_1__PR207_71775__bin.15,90.35326087,1.539855072
MASTER_WP4_UNINA_1__PR207_71775__bin.6,70.59864887,2.244877257
MASTER_WP4_UNINA_1__PS007_71775__bin.1,96.78233952,1.073232323
MASTER_WP4_UNINA_1__PS007_71775__bin.5,55.64321069,1.574703956
MASTER_WP4_UNINA_1__PS007_71775__bin.6,60.91954023,0.0
MASTER_WP4_UNINA_1__PS007_71775__bin.7,94.44444444,0.555555556
MASTER_WP4_UNINA_1__PS007_71775__bin.11,85.8125,0.15625
MASTER_WP4_UNINA_1__PS007_71775__bin.2,56.53172188,0.0
MASTER_WP4_UNINA_1__PS007_71775__bin.9,99.4,0.1
MASTER_WP4_UNINA_1__PT008_71775__bin.9,98.64130435,0.0
MASTER_WP4_UNINA_1__PT008_71775__bin.6,98.59481916,0.946969697
MASTER_WP4_UNINA_1__PT008_71775__bin.11,58.25812712,0.718704512
MASTER_WP4_UNINA_1__PT008_71775__bin.2,99.38858696,0.0
MASTER_WP4_UNINA_1__PT008_71775__bin.3,99.38271605,0.308641975
MASTER_WP4_UNINA_1__PT008_71775__bin.7,83.21557172,3.772290809
MASTER_WP4_UNINA_1__PT008_71775__bin.4,98.04526749,0.056116723
MASTER_WP4_UNINA_1__PT008_71775__bin.8,67.24137931,2.586206897
MASTER_WP4_UNINA_1__PT014_71775__bin.2,90.43310463,0.503144654
MASTER_WP4_UNINA_1__PT014_71775__bin.4,87.85973085,0.384963768
MASTER_WP4_UNINA_1__PT014_71775__bin.3,86.72241281,0.503144654
MASTER_WP4_UNINA_1__PU007_71775__bin.10,99.72691586,0.0
MASTER_WP4_UNINA_1__PU007_71775__bin.7,78.40466114,0.543478261
MASTER_WP4_UNINA_1__PU007_71775__bin.4,66.66666667,1.724137931
MASTER_WP4_UNINA_1__PU007_71775__bin.12,58.21410757,2.160493827
MASTER_WP4_UNINA_1__PU007_71775__bin.24,78.87596899,1.162790698
MASTER_WP4_UNINA_1__PU007_71775__bin.49,93.3030303,1.060606061
MASTER_WP4_UNINA_1__PU007_71775__bin.52,98.75,0.3515625
MASTER_WP4_UNINA_1__PU007_71775__bin.50,58.6622807,0.712719298
MASTER_WP4_UNINA_1__PU007_71775__bin.11,93.88264669,4.56928839
MASTER_WP4_UNINA_1__PU007_71775__bin.28,93.72916667,0.3125
MASTER_WP4_UNINA_1__PU007_71775__bin.21,85.4288499,2.046783626
MASTER_WP4_UNINA_1__PU007_71775__bin.54,77.22350815,0.140200708
MASTER_WP4_UNINA_1__PU007_71775__bin.26,58.05992588,0.734214391
MASTER_WP4_UNINA_1__PU007_71775__bin.37,83.33333333,1.364522417
MASTER_WP4_UNINA_1__PU007_71775__bin.16,93.42873176,0.925925926
MASTER_WP4_UNINA_1__PU007_71775__bin.20,84.29238506,0.517241379
MASTER_WP4_UNINA_1__PU007_71775__bin.23,86.25841751,1.655443322
MASTER_WP4_UNINA_1__PU007_71775__bin.31,90.16225563,3.740567265
MASTER_WP4_UNINA_1__PU007_71775__bin.55,87.42455957,0.845308538
MASTER_WP4_UNINA_1__PU007_71775__bin.46,89.64176496,0.344036697
MASTER_WP4_UNINA_1__PU007_71775__bin.9,97.86821705,2.325581395
MASTER_WP4_UNINA_1__PU007_71775__bin.3,97.29166667,0.277777778
MASTER_WP4_UNINA_1__PU007_71775__bin.29,87.90262172,1.685393258
MASTER_WP4_UNINA_1__PU007_71775__bin.15,92.12707182,3.406998158
MASTER_WP4_UNINA_1__PU007_71775__bin.19,85.62691131,2.652905199
MASTER_WP4_UNINA_1__PU007_71775__bin.44,95.32163743,0.0
MASTER_WP4_UNINA_1__PU010_71775__bin.11,63.33386626,0.978535354
MASTER_WP4_UNINA_1__PU010_71775__bin.45,55.96518177,0.529100529
MASTER_WP4_UNINA_1__PU010_71775__bin.2,79.33646813,3.448275862
MASTER_WP4_UNINA_1__PU010_71775__bin.25,82.5967829,3.704710145
MASTER_WP4_UNINA_1__PU010_71775__bin.12,93.50775194,4.215116279
MASTER_WP4_UNINA_1__PU010_71775__bin.31,96.63636364,1.515151515
MASTER_WP4_UNINA_1__PU010_71775__bin.42,97.4609375,0.3125
MASTER_WP4_UNINA_1__PU010_71775__bin.5,83.92273994,2.354497354
MASTER_WP4_UNINA_1__PU010_71775__bin.23,76.47895523,2.137870855
MASTER_WP4_UNINA_1__PU010_71775__bin.3,89.25438596,1.864035088
MASTER_WP4_UNINA_1__PU010_71775__bin.13,98.625,2.3828125
MASTER_WP4_UNINA_1__PU010_71775__bin.29,80.24296537,4.825757576
MASTER_WP4_UNINA_1__PU010_71775__bin.37,97.5308642,0.264550265
MASTER_WP4_UNINA_1__PU010_71775__bin.7,92.33480176,0.660792952
MASTER_WP4_UNINA_1__PU010_71775__bin.20,96.00389864,0.438596491
MASTER_WP4_UNINA_1__PU010_71775__bin.22,97.97979798,2.42003367
MASTER_WP4_UNINA_1__PU010_71775__bin.35,54.47401481,0.377747253
MASTER_WP4_UNINA_1__PU010_71775__bin.4,84.15759717,3.764749504
MASTER_WP4_UNINA_1__PU010_71775__bin.33,97.48563218,1.903735632
MASTER_WP4_UNINA_1__PU010_71775__bin.30,58.33068783,0.0
MASTER_WP4_UNINA_1__PV005_71775__bin.1,64.10116448,0.194080543
MASTER_WP4_UNINA_1__PV005_71775__bin.10,93.76743727,3.03442029
MASTER_WP4_UNINA_1__PV005_71775__bin.8,76.29044086,1.366120219
MASTER_WP4_UNINA_1__PV005_71775__bin.11,50.16233766,0.0
MASTER_WP4_UNINA_1__PV005_71775__bin.12,98.9375,0.78125
MASTER_WP4_UNINA_1__PV005_71775__bin.9,91.83222958,0.883002208
MASTER_WP4_UNINA_1__SA009_71775__bin.2,55.79450418,0.555555556
MASTER_WP4_UNINA_1__SA009_71775__bin.11,82.22222222,4.601851852
MASTER_WP4_UNINA_1__SA009_71775__bin.26,98.94894895,0.225225225
MASTER_WP4_UNINA_1__SA009_71775__bin.9,52.01149425,0.862068966
MASTER_WP4_UNINA_1__SA009_71775__bin.7,58.62068966,1.724137931
MASTER_WP4_UNINA_1__SA009_71775__bin.29,84.29319372,1.320722851
MASTER_WP4_UNINA_1__SA009_71775__bin.13,51.72413793,0.0
MASTER_WP4_UNINA_1__SA009_71775__bin.15,70.03940974,1.138433515
MASTER_WP4_UNINA_1__SA009_71775__bin.18,96.3,0.3
MASTER_WP4_UNINA_1__SC012_71775__bin.16,87.66904049,3.086419753
MASTER_WP4_UNINA_1__SC012_71775__bin.4,71.66666667,0.555555556
MASTER_WP4_UNINA_1__SC012_71775__bin.18,99.59044369,1.023890785
MASTER_WP4_UNINA_1__SC012_71775__bin.14,74.13793103,0.0
MASTER_WP4_UNINA_1__SC012_71775__bin.8,72.25851309,1.336746303
MASTER_WP4_UNINA_1__SC012_71775__bin.17,94.4,0.2
MASTER_WP4_UNINA_1__SC012_71775__bin.9,98.7,0.1
MASTER_WP4_UNINA_1__SC109_71775__bin.22,90.9356737,3.229166667
MASTER_WP4_UNINA_1__SC109_71775__bin.18,55.17241379,0.0
MASTER_WP4_UNINA_1__SC109_71775__bin.17,59.80861244,0.0
MASTER_WP4_UNINA_1__SC109_71775__bin.32,98.95287958,0.589005236
MASTER_WP4_UNINA_1__SC109_71775__bin.12,71.55172414,0.0
MASTER_WP4_UNINA_1__SC109_71775__bin.37,74.79326323,4.143646409
MASTER_WP4_UNINA_1__SC109_71775__bin.11,89.3018018,3.603603604
MASTER_WP4_UNINA_1__SC109_71775__bin.8,76.17801047,0.523560209
MASTER_WP4_UNINA_1__SC109_71775__bin.23,61.78010471,1.047120419
MASTER_WP4_UNINA_1__SC109_71775__bin.25,97.3,0.2
MASTER_WP4_UNINA_1__SF007_71775__bin.14,94.2157688,0.617283951
MASTER_WP4_UNINA_1__SF007_71775__bin.18,50.0,0.0
MASTER_WP4_UNINA_1__SF009_71775__bin.8,60.31062767,1.587301587
MASTER_WP4_UNINA_1__SF009_71775__bin.13,62.48207885,0.0
MASTER_WP4_UNINA_1__SF009_71775__bin.2,68.10344828,0.0
MASTER_WP4_UNINA_1__SF011_73417__bin.10,78.62778,1.105072464
MASTER_WP4_UNINA_1__SF011_73417__bin.8,95.19650655,0.342066958
MASTER_WP4_UNINA_1__SF011_73417__bin.14,62.06896552,0.0
MASTER_WP4_UNINA_1__SF011_73417__bin.4,53.44827586,0.0
MASTER_WP4_UNINA_1__SF013_71775__bin.7,60.68965517,0.0
MASTER_WP4_UNINA_1__SF013_71775__bin.3,91.14178477,1.739892183
MASTER_WP4_UNINA_1__SF013_71775__bin.2,95.86606809,1.975308642
MASTER_WP4_UNINA_1__SF013_71775__bin.26,86.03225806,1.388888889
MASTER_WP4_UNINA_1__SF013_71775__bin.27,50.0,0.0
MASTER_WP4_UNINA_1__SF013_71775__bin.12,80.82437276,1.851851852
MASTER_WP4_UNINA_1__SF013_71775__bin.18,81.03448276,0.862068966
MASTER_WP4_UNINA_1__SF013_71775__bin.19,98.27586207,2.507836991
MASTER_WP4_UNINA_1__SF013_71775__bin.21,90.9,0.2
MASTER_WP4_UNINA_1__SF013_71775__bin.23,92.5,1.9
MASTER_WP4_UNINA_1__SF013_71775__bin.25,91.2,1.3
MASTER_WP4_UNINA_1__SF013_71775__bin.13,89.8,0.4
MASTER_WP4_UNINA_1__SG007_71775__bin.1,53.08777429,0.0
MASTER_WP4_UNINA_1__SP009_71775__bin.26,92.83684716,0.22296544
MASTER_WP4_UNINA_1__SP009_71775__bin.30,99.38271605,2.777777778
MASTER_WP4_UNINA_1__SP009_71775__bin.31,81.54040404,4.925925926
MASTER_WP4_UNINA_1__SP009_71775__bin.6,85.80246914,0.0
MASTER_WP4_UNINA_1__SP009_71775__bin.20,88.41059603,0.441501104
MASTER_WP4_UNINA_1__SP009_71775__bin.33,61.20689655,1.724137931
MASTER_WP4_UNINA_1__SP009_71775__bin.28,70.39594843,0.43664231
MASTER_WP4_UNINA_1__SP009_71775__bin.32,95.2,0.1
MASTER_WP4_UNINA_1__SP009_71775__bin.13,95.6,0.2
MASTER_WP4_UNINA_1__SP109_71775__bin.11,72.78474399,0.0
MASTER_WP4_UNINA_1__SP109_71775__bin.15,70.73416965,4.462962963
MASTER_WP4_UNINA_1__SP109_71775__bin.34,77.77777778,0.0
MASTER_WP4_UNINA_1__SP109_71775__bin.9,87.39060489,1.441441441
MASTER_WP4_UNINA_1__SP109_71775__bin.6,99.47643979,0.938045375
MASTER_WP4_UNINA_1__SP109_71775__bin.17,54.02298851,0.0
MASTER_WP4_UNINA_1__SP109_71775__bin.29,89.11821705,2.228682171
MASTER_WP4_UNINA_1__SP109_71775__bin.22,91.8,4.5
MASTER_WP4_UNINA_1__SR008_71775__bin.24,53.76242261,0.918273646
MASTER_WP4_UNINA_1__SR008_71775__bin.20,75.11037528,0.022075055
MASTER_WP4_UNINA_1__SR008_71775__bin.21,97.105477,0.716206433
MASTER_WP4_UNINA_1__SR008_71775__bin.19,54.43845684,0.457875458
MASTER_WP4_UNINA_1__SR008_71775__bin.25,60.34482759,0.0
MASTER_WP4_UNINA_1__SR008_71775__bin.14,96.2962963,1.990740741
MASTER_WP4_UNINA_1__SR008_71775__bin.6,86.82119205,4.635761589
MASTER_WP4_UNINA_1__SR008_71775__bin.27,93.73766624,3.209459459
MASTER_WP4_UNINA_1__SR008_71775__bin.17,53.44827586,0.0
MASTER_WP4_UNINA_1__SR008_71775__bin.1,98.13014211,1.047120419
MASTER_WP4_UNINA_1__SR008_71775__bin.11,54.53689168,0.137362637
MASTER_WP4_UNINA_1__SR008_71775__bin.18,95.36423841,0.022075055
MASTER_WP4_UNINA_1__SR008_71775__bin.23,97.56554307,2.372034956
MASTER_WP4_UNINA_1__SS007_71775__bin.9,68.10344828,0.0
MASTER_WP4_UNINA_1__SS007_71775__bin.8,80.07168459,3.185185185
MASTER_WP4_UNINA_1__SS007_71775__bin.25,50.0,0.0
MASTER_WP4_UNINA_1__SS007_71775__bin.6,63.58695652,0.0
MASTER_WP4_UNINA_1__SS007_71775__bin.1,68.10344828,0.0
MASTER_WP4_UNINA_1__SS007_71775__bin.14,97.54601227,0.0
MASTER_WP4_UNINA_1__ST007_71775__bin.12,70.68965517,3.448275862
MASTER_WP4_UNINA_1__ST007_71775__bin.36,53.94474011,3.076511503
MASTER_WP4_UNINA_1__ST007_71775__bin.7,94.69943163,2.254689755
MASTER_WP4_UNINA_1__ST007_71775__bin.34,91.83645269,1.047120419
MASTER_WP4_UNINA_1__ST007_71775__bin.2,98.30246914,2.386831276
MASTER_WP4_UNINA_1__TA003_71775__bin.13,93.29710145,0.203804348
MASTER_WP4_UNINA_1__TA003_71775__bin.7,90.41126367,0.42184265
MASTER_WP4_UNINA_1__TA003_71775__bin.3,97.86821705,3.391472868
MASTER_WP4_UNINA_1__TA003_71775__bin.2,89.8245614,1.656920078
MASTER_WP4_UNINA_1__TA003_71775__bin.1,96.875,1.131687243
MASTER_WP4_UNINA_1__TA003_71775__bin.20,86.81498829,2.823315118
MASTER_WP4_UNINA_1__TA003_71775__bin.15,90.81203582,0.152905199
MASTER_WP4_UNINA_1__TA003_71775__bin.9,76.0249589,1.03021978
MASTER_WP4_UNINA_1__TA003_71775__bin.8,75.9860565,0.791830494
MASTER_WP4_UNINA_1__TA003_71775__bin.16,64.82758621,1.724137931
MASTER_WP4_UNINA_1__TA003_71775__bin.6,98.0,0.1
MASTER_WP4_UNINA_1__TA011_71775__bin.33,82.98449612,1.308139535
MASTER_WP4_UNINA_1__TA011_71775__bin.32,83.33333333,1.754385965
MASTER_WP4_UNINA_1__TA011_71775__bin.34,77.5974026,0.0
MASTER_WP4_UNINA_1__TA011_71775__bin.4,89.3336172,2.550091075
MASTER_WP4_UNINA_1__TA011_71775__bin.5,73.72699645,0.343406593
MASTER_WP4_UNINA_1__TA011_71775__bin.17,63.47477064,1.29969419
MASTER_WP4_UNINA_1__TA011_71775__bin.25,98.16223067,1.977186312
MASTER_WP4_UNINA_1__TA011_71775__bin.24,98.34254144,0.552486188
MASTER_WP4_UNINA_1__TA011_71775__bin.13,97.23756906,1.260916058
MASTER_WP4_UNINA_1__TA011_71775__bin.2,81.47186335,1.351351351
MASTER_WP4_UNINA_1__TA011_71775__bin.10,80.16197327,2.777777778
MASTER_WP4_UNINA_1__TA011_71775__bin.29,97.4175921,3.005464481
MASTER_WP4_UNINA_1__TA011_71775__bin.26,71.9,2.4
MASTER_WP4_UNINA_1__TA011_71775__bin.28,89.5,4.2
MASTER_WP4_UNINA_1__TA012_71775__bin.34,87.24806202,1.453488372
MASTER_WP4_UNINA_1__TA012_71775__bin.24,94.68810916,4.385964912
MASTER_WP4_UNINA_1__TA012_71775__bin.2,96.42857143,0.0
MASTER_WP4_UNINA_1__TA012_71775__bin.18,71.89270393,2.717313218
MASTER_WP4_UNINA_1__TA012_71775__bin.8,56.89655172,3.448275862
MASTER_WP4_UNINA_1__TA012_71775__bin.36,90.1442603,1.087589491
MASTER_WP4_UNINA_1__TA012_71775__bin.17,89.72040192,4.109327217
MASTER_WP4_UNINA_1__TA012_71775__bin.5,99.30939227,0.552486188
MASTER_WP4_UNINA_1__TA012_71775__bin.15,82.14936248,2.094717668
MASTER_WP4_UNINA_1__TO013_71775__bin.14,67.78181978,1.902173913
MASTER_WP4_UNINA_1__TO013_71775__bin.3,98.79245283,0.377358491
MASTER_WP4_UNINA_1__TO013_71775__bin.18,96.51740136,1.710758377
MASTER_WP4_UNINA_1__TO013_71775__bin.19,91.24897985,1.483416511
MASTER_WP4_UNINA_1__TO013_71775__bin.21,56.03448276,3.448275862
MASTER_WP4_UNINA_1__TO013_71775__bin.12,73.95064445,4.518985416
MASTER_WP4_UNINA_1__TO013_71775__bin.16,91.30190797,4.218106996
MASTER_WP4_UNINA_1__TO013_71775__bin.17,94.37369792,1.09375
MASTER_WP4_UNINA_1__TO013_71775__bin.15,97.97178131,1.075268817
MASTER_WP4_UNINA_1__TO013_71775__bin.9,97.6875,1.391369048
MASTER_WP4_UNINA_1__TO013_71775__bin.4,72.44505061,1.3136289
MASTER_WP4_UNINA_1__TO013_71775__bin.2,58.0,0.0
MASTER_WP4_UNINA_2__A-28.0__bin.2,62.31302419,0.0
MASTER_WP4_UNINA_2__B-28.0__bin.5,60.34482759,0.0
MASTER_WP4_UNINA_2__C-27.0__bin.1,50.27309905,0.0
MASTER_WP4_UNINA_2__C-27.0__bin.6,50.0,0.0
MASTER_WP4_UNINA_2__C-27.0__bin.3,52.5862069,0.0
MASTER_WP4_UNINA_2__D-27.0__bin.4,50.86206897,0.0
MASTER_WP4_UNINA_2__F-27.0__bin.3,50.0,0.0
MASTER_WP4_UNINA_2__F-28.0__bin.3,57.34109656,0.0
MASTER_WP4_UNINA_2__F-28.0__bin.1,65.08658009,0.0
MASTER_WP4_UNINA_2__H-23__bin.4,74.62121212,0.189393939
MASTER_WP4_UNINA_2__H-23__bin.3,58.62068966,0.0
MASTER_WP4_UNINA_2__H-23__bin.1,76.3061651,0.0
MASTER_WP4_UNINA_2__H-24__bin.2,95.45454545,0.568181818
MASTER_WP4_UNINA_2__H-24__bin.3,69.86414362,0.145560408
MASTER_WP4_UNINA_2__H-24__bin.1,86.32101556,0.974842767
MASTER_WP4_UNINA_2__H-25__bin.4,75.75757576,0.568181818
MASTER_WP4_UNINA_2__H-25__bin.5,63.79310345,0.0
MASTER_WP4_UNINA_2__H-25__bin.3,65.28735632,0.0
MASTER_WP4_UNINA_2__H-26__bin.1,98.10606061,0.378787879
MASTER_WP4_UNINA_2__H-26__bin.2,69.08643516,0.291120815
MASTER_WP4_UNINA_2__H-26__bin.3,85.69918558,1.144248326
MASTER_WP4_UNINA_2__H-27__bin.2,73.86363636,0.378787879
MASTER_WP4_UNINA_2__H-27__bin.3,51.57993692,0.145560408
MASTER_WP4_UNINA_2__H-27__bin.5,89.70108696,0.295031056
MASTER_WP4_UNINA_2__H-27__bin.4,82.9414838,0.0
MASTER_WP4_UNINA_2__H-28__bin.4,80.3030303,0.0
MASTER_WP4_UNINA_2__H-28__bin.2,87.38095238,0.067934783
MASTER_WP4_UNINA_2__H-28__bin.1,79.02298851,1.724137931
MASTER_WP4_UNINA_2__H-29__bin.3,70.45454545,0.0
MASTER_WP4_UNINA_2__H-29__bin.18,68.85388508,0.363901019
MASTER_WP4_UNINA_2__H-29__bin.12,84.06478579,0.0
MASTER_WP4_UNINA_2__H-29__bin.16,81.5337763,1.569767442
MASTER_WP4_UNINA_2__H-29__bin.14,94.63937622,4.434697856
MASTER_WP4_UNINA_2__H-29__bin.17,95.71823204,2.854511971
MASTER_WP4_UNINA_2__H-29__bin.15,91.49847095,2.675840979
MASTER_WP4_UNINA_2__H-29__bin.1,97.7,0.1
MASTER_WP4_UNINA_2__H-30__bin.15,78.78787879,0.0
MASTER_WP4_UNINA_2__H-30__bin.2,56.89655172,0.0
MASTER_WP4_UNINA_2__H-30__bin.7,81.89655172,0.0
MASTER_WP4_UNINA_2__H-30__bin.14,74.10244922,1.805555556
MASTER_WP4_UNINA_2__H-30__bin.5,71.61129568,1.744186047
MASTER_WP4_UNINA_2__H-30__bin.3,90.15594542,4.288499025
MASTER_WP4_UNINA_2__H-30__bin.13,85.28797146,0.955657492
MASTER_WP4_UNINA_2__H-30__bin.4,97.5,0.1
MASTER_WP4_UNINA_2__I-21__bin.1,70.12987013,0.0
MASTER_WP4_UNINA_2__I-23__bin.3,50.0,0.0
MASTER_WP4_UNINA_2__I-23__bin.7,74.29467085,0.0
MASTER_WP4_UNINA_2__I-23.1__bin.8,53.71179039,0.145560408
MASTER_WP4_UNINA_2__I-23.1__bin.9,62.33766234,0.0
MASTER_WP4_UNINA_2__I-24__bin.5,69.8890175,1.049240348
MASTER_WP4_UNINA_2__I-24.1__bin.1,94.60533126,1.721014493
MASTER_WP4_UNINA_2__I-24.1__bin.3,58.7012987,0.0
MASTER_WP4_UNINA_2__I-25__bin.10,62.78494156,2.594261581
MASTER_WP4_UNINA_2__I-25__bin.2,66.12554113,0.0
MASTER_WP4_UNINA_2__I-25__bin.6,89.87866449,2.470420582
MASTER_WP4_UNINA_2__I-25.1__bin.10,89.9560801,2.016443701
MASTER_WP4_UNINA_2__I-25.1__bin.5,95.60344828,3.0258092
MASTER_WP4_UNINA_2__I-26__bin.9,74.13793103,0.0
MASTER_WP4_UNINA_2__I-26.1__bin.7,70.0517207,1.286231884
MASTER_WP4_UNINA_2__I-26.1__bin.6,85.62807882,3.111829502
MASTER_WP4_UNINA_2__I-26.1__bin.9,61.03896104,0.0
MASTER_WP4_UNINA_2__I-27__bin.2,96.04553601,2.074314574
MASTER_WP4_UNINA_2__I-27__bin.4,92.11790393,0.636826783
MASTER_WP4_UNINA_2__I-27__bin.1,85.71428571,0.0
MASTER_WP4_UNINA_2__I-28__bin.9,92.41852104,4.578804348
MASTER_WP4_UNINA_2__I-28__bin.5,98.06640625,0.46875
MASTER_WP4_UNINA_2__I-28__bin.3,94.05631659,0.204701121
MASTER_WP4_UNINA_2__I-28__bin.13,98.80078125,0.401785714
MASTER_WP4_UNINA_2__I-28__bin.2,83.31756544,1.832229581
MASTER_WP4_UNINA_2__I-29__bin.13,95.4129256,4.898175301
MASTER_WP4_UNINA_2__I-29__bin.9,97.2192029,2.079849498
MASTER_WP4_UNINA_2__I-29__bin.1,70.70490868,0.0
MASTER_WP4_UNINA_2__I-29__bin.15,91.22971286,2.304262529
MASTER_WP4_UNINA_2__I-29__bin.2,97.0625,0.9375
MASTER_WP4_UNINA_2__I-29__bin.6,90.56603774,1.41509434
MASTER_WP4_UNINA_2__I-29__bin.22,98.88888889,1.111111111
MASTER_WP4_UNINA_2__I-29__bin.7,89.93377483,1.103752759
